wave,nclass,N,llik,AIC,BIC,df,chi_sq,Gsq,wave_label,bic_flag
W119,2,10906,-20791.804,41601.608,41667.281,-1,0.021,0.021,"W119
(Dec 2022)",*
W119,3,10906,-20791.793,41611.586,41713.745,-6,0,0,"W119
(Dec 2022)",
W119,4,10906,-20791.793,41621.586,41760.231,-11,0,0,"W119
(Dec 2022)",
W119,5,10906,-20791.793,41631.586,41806.716,-16,0,0,"W119
(Dec 2022)",
W132,2,5368,-9590.828,19199.657,19258.951,-1,14.421,14.055,"W132
(Aug 2023)",*
W132,3,5368,-9583.801,19195.602,19287.837,-6,0,0,"W132
(Aug 2023)",
W132,4,5368,-9583.801,19205.602,19330.778,-11,0,0,"W132
(Aug 2023)",
W132,5,5368,-9583.801,19215.602,19373.719,-16,0,0,"W132
(Aug 2023)",
W152,2,5363,-9543.082,19104.165,19163.45,-1,2.897,2.86,"W152
(Aug 2024)",*
W152,3,5363,-9541.652,19111.305,19203.527,-6,0,0,"W152
(Aug 2024)",
W152,4,5363,-9541.652,19121.305,19246.463,-11,0,0,"W152
(Aug 2024)",
W152,5,5363,-9541.652,19131.305,19289.399,-16,0,0,"W152
(Aug 2024)",
