class,variable,response_level,probability,form,class_label
1,lca_attitude,1,0.029056818193794676,A,Class 1 (Form A)
1,lca_attitude,2,0.8981089150987152,A,Class 1 (Form A)
1,lca_attitude,3,0.07283426670751296,A,Class 1 (Form A)
2,lca_attitude,1,0.08151595301786098,A,Class 2 (Form A)
2,lca_attitude,2,0.4275281016392166,A,Class 2 (Form A)
2,lca_attitude,3,0.4909559453429036,A,Class 2 (Form A)
3,lca_attitude,1,0.2457618363931865,A,Class 3 (Form A)
3,lca_attitude,2,0.26345059021322814,A,Class 3 (Form A)
3,lca_attitude,3,0.49078757339361073,A,Class 3 (Form A)
4,lca_attitude,1,0.03542963712993421,A,Class 4 (Form A)
4,lca_attitude,2,0.6859463357635648,A,Class 4 (Form A)
4,lca_attitude,3,0.27862402710652534,A,Class 4 (Form A)
1,lca_awareness,1,0.3629225795409284,A,Class 1 (Form A)
1,lca_awareness,2,0.5793781066074025,A,Class 1 (Form A)
1,lca_awareness,3,0.05769931385169999,A,Class 1 (Form A)
2,lca_awareness,1,7.903569175301375e-14,A,Class 2 (Form A)
2,lca_awareness,2,0.8568603590647031,A,Class 2 (Form A)
2,lca_awareness,3,0.14313964093521575,A,Class 2 (Form A)
3,lca_awareness,1,0.8456859835515046,A,Class 3 (Form A)
3,lca_awareness,2,0.14665653070235676,A,Class 3 (Form A)
3,lca_awareness,3,0.007657485746162593,A,Class 3 (Form A)
4,lca_awareness,1,0.39149708127892163,A,Class 4 (Form A)
4,lca_awareness,2,0.5699226937317117,A,Class 4 (Form A)
4,lca_awareness,3,0.03858022498938558,A,Class 4 (Form A)
1,lca_dom_a,1,0.14036266433188171,A,Class 1 (Form A)
1,lca_dom_a,2,0.8596373356681386,A,Class 1 (Form A)
2,lca_dom_a,1,0.991609701331433,A,Class 2 (Form A)
2,lca_dom_a,2,0.008390298668566491,A,Class 2 (Form A)
3,lca_dom_a,1,0.9080452525475652,A,Class 3 (Form A)
3,lca_dom_a,2,0.09195474745244042,A,Class 3 (Form A)
4,lca_dom_a,1,0.5881468268849489,A,Class 4 (Form A)
4,lca_dom_a,2,0.4118531731150709,A,Class 4 (Form A)
1,lca_dom_b,1,0.057239900340762734,A,Class 1 (Form A)
1,lca_dom_b,2,0.9427600996592612,A,Class 1 (Form A)
2,lca_dom_b,1,0.9909946046765566,A,Class 2 (Form A)
2,lca_dom_b,2,0.009005395323440258,A,Class 2 (Form A)
3,lca_dom_b,1,0.999116652514506,A,Class 3 (Form A)
3,lca_dom_b,2,8.833474854914189e-4,A,Class 3 (Form A)
4,lca_dom_b,1,0.7840936313209327,A,Class 4 (Form A)
4,lca_dom_b,2,0.21590636867907234,A,Class 4 (Form A)
1,lca_dom_c,1,0.09241992275321176,A,Class 1 (Form A)
1,lca_dom_c,2,0.907580077246815,A,Class 1 (Form A)
2,lca_dom_c,1,0.9869699352476832,A,Class 2 (Form A)
2,lca_dom_c,2,0.013030064752315584,A,Class 2 (Form A)
3,lca_dom_c,1,0.9884404666450961,A,Class 3 (Form A)
3,lca_dom_c,2,0.011559533354905682,A,Class 3 (Form A)
4,lca_dom_c,1,0.8031502579528116,A,Class 4 (Form A)
4,lca_dom_c,2,0.19684974204719152,A,Class 4 (Form A)
1,lca_dom_d,1,0.02883922524613684,A,Class 1 (Form A)
1,lca_dom_d,2,0.971160774753892,A,Class 1 (Form A)
2,lca_dom_d,1,0.9305182541374003,A,Class 2 (Form A)
2,lca_dom_d,2,0.0694817458626036,A,Class 2 (Form A)
3,lca_dom_d,1,0.9130930824074268,A,Class 3 (Form A)
3,lca_dom_d,2,0.08690691759258208,A,Class 3 (Form A)
4,lca_dom_d,1,0.45739285587488815,A,Class 4 (Form A)
4,lca_dom_d,2,0.5426071441251438,A,Class 4 (Form A)
