domain_short,domain_label,group_var,subgroup,pct_hurt,pct_hurt_low,pct_hurt_upp,n_unwt
Accurate info,Finding accurate information online,education,College graduate+,28.3,26,30.6,2713
Accurate info,Finding accurate information online,education,HS graduate or less,26.6,22.5,30.7,951
Accurate info,Finding accurate information online,education,Some College,27.9,24.8,30.9,1718
Accurate info,Finding accurate information online,party,Dem/Lean Dem,25.4,23,27.9,2855
Accurate info,Finding accurate information online,party,Rep/Lean Rep,29.7,27,32.4,2537
Customer service,Companies providing quality customer svc,education,College graduate+,33.2,30.9,35.6,2710
Customer service,Companies providing quality customer svc,education,HS graduate or less,33.9,29.7,38.2,949
Customer service,Companies providing quality customer svc,education,Some College,37.7,34.3,41,1721
Customer service,Companies providing quality customer svc,party,Dem/Lean Dem,31.2,28.7,33.8,2853
Customer service,Companies providing quality customer svc,party,Rep/Lean Rep,38.8,36,41.7,2537
Health care,People taking care of their health,education,College graduate+,16.2,14.4,18.1,2714
Health care,People taking care of their health,education,HS graduate or less,22.1,18.4,25.9,950
Health care,People taking care of their health,education,Some College,19.3,16.6,21.9,1719
Health care,People taking care of their health,party,Dem/Lean Dem,15.3,13.2,17.5,2856
Health care,People taking care of their health,party,Rep/Lean Rep,23.3,20.8,25.7,2537
Vehicle safety,Companies making safe cars/trucks,education,College graduate+,15.1,13.1,17,2710
Vehicle safety,Companies making safe cars/trucks,education,HS graduate or less,23.2,19.3,27,950
Vehicle safety,Companies making safe cars/trucks,education,Some College,19.2,16.7,21.7,1720
Vehicle safety,Companies making safe cars/trucks,party,Dem/Lean Dem,15.7,13.5,17.9,2853
Vehicle safety,Companies making safe cars/trucks,party,Rep/Lean Rep,22.4,20,24.9,2537
